id,text,label,category,cso_grade,note
31,진단서 사본이 첨부되었습니다,민감정보,건강정보,S,세부 기준 추후 검토
32,해당 직원은 현재 병가 중입니다,민감정보,건강정보,S,세부 기준 추후 검토
33,수술 후 요양 중으로 복직 일정 미정입니다,민감정보,건강정보,S,세부 기준 추후 검토
34,우울증 치료 이력이 기록되어 있습니다,민감정보,건강정보,S,
35,당뇨 진단을 받아 식이요법 중인 것으로 확인됩니다,민감정보,건강정보,S,
36,처방전 원본을 제출해 주시기 바랍니다,민감정보,건강정보,S,애매한 문장 - 개인 특정 불명확
37,건강검진 결과를 인사팀에 제출하였습니다,민감정보,건강정보,S,애매한 문장 - 결과 내용 미기재
38,장애인 등록 관련 서류를 제출했습니다,민감정보,복지정보,S,
39,기초생활수급자 확인서가 첨부되었습니다,민감정보,복지정보,S,
40,복지카드 발급 신청서를 접수했습니다,민감정보,복지정보,S,애매한 문장 - 장애 여부 직접 언급 없음
41,근무평정 D등급으로 조정되었습니다,민감정보,인사정보,S,
42,경고 조치가 발령되었습니다,민감정보,인사정보,S,애매한 문장 - 대상자 불명확
43,해당 직원에 대해 징계위원회가 개최되었습니다,민감정보,인사정보,S,
44,성과 평가 결과 최하위 등급을 받았습니다,민감정보,인사정보,S,
45,감봉 3개월 처분이 결정되었습니다,민감정보,인사정보,S,
46,계약금액 산출표를 첨부했습니다,민감정보,계약정보,C,세부 기준 추후 검토
47,납품 단가 협의 결과를 공유드립니다,민감정보,계약정보,C,
48,위약금 조항이 포함된 계약서를 검토해 주세요,민감정보,계약정보,C,
49,MOU 체결 내용을 내부에 공유합니다,민감정보,계약정보,C,
50,협약서 초안을 첨부하였으니 검토 바랍니다,민감정보,계약정보,C,
51,원가계산서를 기획팀에 전달했습니다,민감정보,예산/원가정보,C,
52,낙찰률 분석 자료를 공유드립니다,민감정보,예산/원가정보,C,
53,내년도 예산편성안이 첨부되었습니다,민감정보,예산/원가정보,C,
54,부서별 원가율 현황을 보고드립니다,민감정보,예산/원가정보,C,
55,입찰 기준가 산정 자료를 검토해 주세요,민감정보,예산/원가정보,C,
56,신규 노선 개통 계획이 포함된 사업계획서입니다,민감정보,계획/전략정보,C,
57,R&D 로드맵 초안을 공유드립니다,민감정보,계획/전략정보,C,
58,3개년 중장기 전략 보고서를 첨부합니다,민감정보,계획/전략정보,C,
59,신사업 추진 방향에 대한 내부 검토 자료입니다,민감정보,계획/전략정보,C,
60,사업계획서 수정본을 전달드립니다,민감정보,계획/전략정보,C,애매한 문장 - 내용 미노출
61,장비 취약점 점검 결과를 보고드립니다,민감정보,운영/유지보수정보,C,
62,노후 설비 교체 이력이 포함된 매뉴얼입니다,민감정보,운영/유지보수정보,C,
63,고장 이력 및 조치 결과를 첨부합니다,민감정보,운영/유지보수정보,C,
64,정기 점검 주기 및 절차가 명시된 문서입니다,민감정보,운영/유지보수정보,C,
65,해당 구간 시설물의 취약 부위를 식별했습니다,민감정보,운영/유지보수정보,C,
66,감사 결과 일부 위반 사항이 확인되었습니다,민감정보,감사/법무정보,C,
67,법적 리스크 검토 의견서를 첨부합니다,민감정보,감사/법무정보,C,
68,내부 감사 보고서 초안을 공유드립니다,민감정보,감사/법무정보,C,
69,소송 관련 법률 검토 결과를 안내드립니다,민감정보,감사/법무정보,C,
70,계약 위반 여부에 대한 법무 의견이 첨부되었습니다,민감정보,감사/법무정보,C,
71,인사발령 내역을 부서장에게 전달했습니다,민감정보,인사/조직정보,S,
72,조직개편 방향을 내부 공유합니다,민감정보,인사/조직정보,S,
73,팀장급 인사이동 내역이 포함된 자료입니다,민감정보,인사/조직정보,S,
74,비공개 조직도를 첨부합니다,민감정보,인사/조직정보,S,
75,하반기 인력 운용 계획을 공유드립니다,민감정보,인사/조직정보,S,
76,혼잡 구간 원데이터를 분석팀에 전달했습니다,민감정보,운용데이터,S,
77,노선별 수송량 원본 데이터를 첨부합니다,민감정보,운용데이터,S,
78,취약 시간대 운행 현황을 보고드립니다,민감정보,운용데이터,C,운영 리스크 노출 가능
79,이용객 통계 원데이터를 공유드립니다,민감정보,운용데이터,S,
80,특정 구간 사고 이력 데이터를 첨부합니다,민감정보,운용데이터,C,운영 리스크 노출 가능
81,결과 보고서를 다음 주까지 제출하겠습니다,일반,일반업무,O,애매한 문장 - 내용 미특정
82,관련 자료를 검토 후 회신드리겠습니다,일반,일반업무,O,애매한 문장 - 내용 미특정
83,해당 문서는 담당자에게 전달했습니다,일반,일반업무,O,애매한 문장 - 담당자 정보 미노출
84,첨부 파일을 참고하여 처리 바랍니다,일반,일반업무,O,애매한 문장 - 파일 내용 미특정
85,관련 부서에 협조 요청을 했습니다,일반,일반업무,O,애매한 문장 - 내용 미특정
86,직원 교육 참석 현황을 정리했습니다,일반,일반업무,O,애매한 문장 - 개인 정보 포함 여부 불명확
87,외부 강사 섭외가 완료되었습니다,일반,일반업무,O,
88,유관 기관에 공문을 발송했습니다,일반,일반업무,O,
89,내부 규정 개정안을 검토 중입니다,일반,일반업무,O,
90,시스템 오류 발생 건을 접수했습니다,일반,일반업무,O,애매한 문장 - 장애 상세 포함 시 C
91,해당 직원의 휴가 신청을 승인했습니다,일반,일반업무,O,애매한 문장 - 개인 특정 여부 불명확
92,이번 교육은 전 직원 대상으로 진행됩니다,일반,일반업무,O,
93,보안 교육 이수 여부를 확인해 주세요,일반,일반업무,O,
94,해당 사업자와 계약을 진행 중입니다,일반,일반업무,O,애매한 문장 - 계약 내용 미포함 시 O
95,문서를 수정한 후 재제출 바랍니다,일반,일반업무,O,
96,내부 서버 점검 일정을 안내드립니다,일반,일반업무,O,애매한 문장 - 점검 내용 상세 포함 시 C
97,자료를 취합하여 보고드리겠습니다,일반,일반업무,O,
98,회의 결과를 요약하여 공유드립니다,일반,일반업무,O,
99,신규 채용 공고를 게시했습니다,일반,일반업무,O,
100,부서 업무 현황을 월말에 보고드리겠습니다,일반,일반업무,O,
